SS	SM	eps_real_L	eps_imag_L	eps_real_C	eps_imag_C
3	10	6.536	4.114	5.945	1.740
3	15	8.669	5.416	8.029	2.461
3	20	11.106	6.563	10.392	3.229
3	30	16.873	8.648	15.891	4.942
3	40	23.715	10.630	22.348	6.897
5	10	6.656	5.130	5.876	2.034
5	15	8.758	6.886	7.920	2.851
5	20	11.150	8.415	10.249	3.698
5	30	16.809	11.152	15.689	5.545
5	40	23.560	13.691	22.096	7.620
10	10	6.924	7.309	5.736	2.702
10	15	8.987	10.246	7.675	3.789
10	20	11.287	12.798	9.910	4.850
10	30	16.712	17.280	15.192	7.056
10	40	23.229	21.310	21.464	9.442
15	10	7.106	8.876	5.643	3.204
15	15	9.172	13.030	7.482	4.602
15	20	11.419	16.649	9.618	5.908
15	30	16.668	22.973	14.727	8.506
15	40	22.981	28.597	20.853	11.224
20	10	7.206	9.829	5.577	3.514
20	15	9.305	15.241	7.331	5.262
20	20	11.519	19.957	9.371	6.838
20	30	16.631	28.190	14.302	9.865
20	40	22.768	35.466	20.273	12.936
30	10	7.214	9.924	5.568	3.545
30	15	9.436	17.970	7.119	6.083
30	20	11.632	24.993	8.991	8.275
30	30	16.534	37.210	13.568	12.263
30	40	22.372	47.947	19.215	16.108
40	10	7.214	9.924	5.568	3.545
40	15	9.440	18.101	7.105	6.123
40	20	11.661	27.925	8.729	9.115
40	30	16.412	44.358	12.976	14.187
40	40	21.990	58.741	18.292	18.893
