SS	SM	eps_real_L	eps_imag_L	eps_real_C	eps_imag_C
1	5	4.450	1.870	4.114	0.820
1	10	6.317	2.894	5.936	1.402
1	15	8.490	3.681	8.050	2.014
1	20	10.975	4.394	10.436	2.689
1	25	13.753	5.079	13.083	3.432
1	30	16.814	5.750	15.976	4.240
1	40	23.730	7.104	22.468	6.055
3	5	4.556	2.380	4.084	0.983
3	10	6.419	3.935	5.863	1.684
3	15	8.544	5.131	7.940	2.380
3	20	10.989	6.185	10.299	3.128
3	25	13.731	7.173	12.919	3.936
3	30	16.755	8.125	15.788	4.806
3	40	23.593	9.980	22.234	6.730
5	5	4.662	2.857	4.059	1.145
5	10	6.535	4.966	5.789	1.979
5	15	8.628	6.606	7.831	2.768
5	20	11.018	8.032	10.157	3.591
5	25	13.705	9.346	12.747	4.466
5	30	16.678	10.594	15.589	5.398
5	40	23.429	12.982	21.987	7.437
7	5	4.750	3.250	4.041	1.283
7	10	6.651	5.921	5.726	2.264
7	15	8.717	8.013	7.727	3.151
7	20	11.061	9.828	10.018	4.053
7	25	13.697	11.484	12.577	4.997
7	30	16.619	13.043	15.391	5.993
7	40	23.277	15.986	21.739	8.149
10	5	4.839	3.658	4.021	1.432
10	10	6.802	7.170	5.649	2.651
10	15	8.847	9.956	7.586	3.696
10	20	11.139	12.370	9.821	4.724
10	25	13.710	14.563	12.332	5.778
10	30	16.563	16.608	15.101	6.873
10	40	23.085	20.422	21.370	9.211
12	5	4.856	3.740	4.016	1.462
12	10	6.886	7.880	5.607	2.875
12	15	8.925	11.135	7.503	4.036
12	20	11.191	13.958	9.699	5.153
12	25	13.726	16.515	12.175	6.284
12	30	16.538	18.897	14.914	7.449
12	40	22.975	23.313	21.129	9.911
15	5	4.856	3.740	4.016	1.462
15	10	6.985	8.764	5.555	3.158
15	15	9.028	12.735	7.393	4.504
15	20	11.263	16.180	9.531	5.764
15	25	13.751	19.297	11.954	7.016
15	30	16.509	22.190	14.644	8.288
15	40	22.828	27.534	20.774	10.943
18	5	4.856	3.740	4.016	1.462
18	10	7.057	9.439	5.513	3.377
18	15	9.112	14.136	7.297	4.919
18	20	11.324	18.214	9.379	6.332
18	25	13.774	21.902	11.748	7.711
18	30	16.483	25.320	14.389	9.097
18	40	22.695	31.608	20.430	11.951
20	5	4.856	3.740	4.016	1.462
20	10	7.090	9.772	5.488	3.485
20	15	9.159	14.962	7.240	5.165
20	20	11.359	19.469	9.285	6.685
20	25	13.785	23.543	11.619	8.154
20	30	16.466	27.316	14.226	9.618
20	40	22.611	34.246	20.207	12.610
25	5	4.856	3.740	4.016	1.462
25	10	7.109	9.979	5.470	3.552
25	15	9.246	16.655	7.120	5.672
25	20	11.426	22.256	9.077	7.475
25	25	13.803	27.316	11.323	9.180
25	30	16.418	31.994	13.845	10.851
25	40	22.409	40.563	19.672	14.201
30	5	4.856	3.740	4.016	1.462
30	10	7.109	9.979	5.470	3.552
30	15	9.295	17.821	7.025	6.023
30	20	11.469	24.552	8.903	8.130
30	25	13.805	30.625	11.062	10.088
30	30	16.362	36.233	13.500	11.979
30	40	22.212	46.485	19.169	15.709
40	5	4.856	3.740	4.016	1.462
40	10	7.109	9.979	5.470	3.552
40	15	9.306	18.160	6.990	6.124
40	20	11.501	27.668	8.635	9.021
40	25	13.779	35.856	10.635	11.532
40	30	16.236	43.401	12.908	13.902
40	40	21.828	57.150	18.257	18.452
60	5	4.856	3.740	4.016	1.462
60	10	7.109	9.979	5.470	3.552
60	15	9.306	18.160	6.990	6.124
60	20	11.499	28.120	8.585	9.149
60	25	13.714	39.740	10.257	12.602
60	30	15.990	52.374	12.076	16.317
60	40	21.139	73.663	16.798	22.741
